StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36_1,Q36_2,Q36_3,Q37,Q38,Code
2017-10-31 13:38:53,2017-10-31 13:41:44,IP Address,107.77.200.228,100,170,True,2017-10-31 13:41:44,R_1P1NucMN0vnMuIQ,,,,,32.778701782227,-96.821701049805,anonymous,EN,A little,None at all,A moderate amount,A moderate amount,A moderate amount,A little,Yes,A moderate amount,A little,A lot,A little,A little,A little,Yes,A lot,A lot,A moderate amount,A moderate amount,A moderate amount,A lot,Neither,Stay,"Evacuation expense (travel, lodging, etc.)",27,Male,Caucasian,Graduate school,"$40,000 to $80,000",1,No,No,No,No,77418,More than 70 miles,Detached single family home,Brick or block,Own,Yes,"Austin ",No,,,,Yes,No,,,No,No,No,Yes,A2DZVZSDEM81D1,791600
2017-10-31 13:41:24,2017-10-31 13:51:50,IP Address,172.58.3.208,100,625,True,2017-10-31 13:51:50,R_2q4r57xYGiq5dQ5,,,,,33.622192382812,-84.523101806641,anonymous,EN,A moderate amount,A lot,A lot,A moderate amount,A lot,A moderate amount,Yes,A little,A lot,A lot,A lot,A little,A lot,No,,,,,,,Stay,Stay,"Having elderly family member(s),Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.)",24,Female,African American,Some college,"Less than $15,000",3,Yes,No,No,No,71108,10 to 30 miles,Detached single family home,Brick or block,Own,Yes,Caddo,No,,,,No,No,,,No,No,No,Yes,A3DGO2O513UJMO,961112
2017-10-31 13:53:29,2017-10-31 13:57:51,IP Address,70.195.210.181,100,262,True,2017-10-31 13:57:51,R_27NFxtKtGEbMXeX,,,,,32.778701782227,-96.821701049805,anonymous,EN,A lot,A moderate amount,A lot,A lot,A great deal,A great deal,Yes,A lot,A moderate amount,A little,A lot,A lot,A moderate amount,Yes,A moderate amount,A moderate amount,A lot,A lot,A moderate amount,A lot,Evacuate,Stay,"No place to go (hotels, public shelters, friends' or family's places, etc.),None",40,Male,Hispanic,High school graduate,"$40,000 to $80,000",3,No,No,No,Yes,78114,More than 70 miles,Mobile or manufactured home,Wood,Rent,Yes,Wilson,Yes,Voluntary (should),"Radio or TV,Word of mouth (friends/relative/neighbor)",August 23th (Wednesday),Yes,No,,,No,No,No,Yes,A2ML4TEAJTDQD0,445216
2017-10-31 14:07:13,2017-10-31 14:10:32,IP Address,162.199.18.14,100,199,True,2017-10-31 14:10:32,R_1Km2aTFpjB2QNFy,,,,,29.832702636719,-95.662696838379,anonymous,EN,A lot,A moderate amount,A lot,A lot,A lot,A lot,Yes,A lot,A little,A great deal,A moderate amount,A great deal,A little,Yes,A little,A great deal,A moderate amount,A lot,A little,A lot,Stay,Stay,None,22,Male,Hispanic,Some college,"$25,000 to $40,000",4,No,No,No,No,77449,50 to 70 miles,Detached single family home,Brick or block,Own,No,harris,No,,,,Yes,No,,,No,No,No,Yes,A32PF8ZVZLP7CV,188300
2017-10-31 14:14:33,2017-10-31 14:18:43,IP Address,173.217.96.226,100,249,True,2017-10-31 14:18:44,R_2U5fM6NLx0pC2Rn,,,,,30.13459777832,-93.273002624512,anonymous,EN,A moderate amount,A little,A lot,A lot,A moderate amount,A moderate amount,Yes,A little,None at all,A moderate amount,A lot,A lot,A little,Yes,A lot,A moderate amount,A great deal,A great deal,A little,A great deal,Stay,Stay,"Having family member(s) with special needs,Having pets,Evacuation expense (travel, lodging, etc.),Job obligations",32,Female,Caucasian,Some college,"Less than $15,000",2,No,No,Yes,Yes,70607,10 to 30 miles,Mobile or manufactured home,Other,Own,No,Calcasieu,No,,,,,No,,,No,No,No,Yes,A33QI63NVR8CUO,426536
2017-10-31 15:56:36,2017-10-31 16:07:20,IP Address,70.140.180.207,100,644,True,2017-10-31 16:07:21,R_3hfEPOPcbHSMT0P,,,,,29.748199462891,-95.490898132324,anonymous,EN,A moderate amount,A little,A moderate amount,A lot,A lot,A great deal,Yes,A moderate amount,A little,A great deal,A great deal,A little,A little,Yes,A great deal,A lot,A moderate amount,A little,A little,A lot,Stay,Stay,"Having elderly family member(s),Having pets,Evacuation expense (travel, lodging, etc.),Job obligations",31,Male,Asian,Some college,"$25,000 to $40,000",3,No,Yes,No,Yes,77042,50 to 70 miles,Condo/apartment - 4 stories or less,Brick or block,Own,Yes,Harris,No,,,,No,No,,,No,No,No,Yes,A2JZP4AZI1RTG4,988939
2017-10-31 18:45:37,2017-10-31 18:48:45,IP Address,45.19.51.111,100,187,True,2017-10-31 18:48:45,R_UxUMDTONroGpccx,,,,,30.499801635742,-97.808197021484,anonymous,EN,A little,A moderate amount,A moderate amount,A moderate amount,A little,A little,Yes,A great deal,A great deal,A great deal,A lot,A lot,A lot,Yes,A great deal,A great deal,A lot,A lot,A lot,A great deal,Neither,,"Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.),Job obligations",25,Female,American Indian,College graduate,"Over $80,000",2,No,No,No,No,78729,More than 70 miles,Detached single family home,Wood,Own,Yes,Travis,Yes,,"Radio or TV,Word of mouth (friends/relative/neighbor)","August 25th (Friday, 1st landfall near Rockport, TX)",,No,,,No,No,No,Yes,A32OQMVL7Y17M6,389379
2017-10-31 19:46:38,2017-10-31 19:51:41,IP Address,108.226.178.119,100,303,True,2017-10-31 19:51:41,R_2aLz9Af1s0Ig4zT,,,,,29.748199462891,-95.490898132324,anonymous,EN,A little,A little,None at all,A little,A little,A little,Yes,A little,A little,A little,A little,A little,A little,Yes,A little,A little,A little,A little,A little,A little,Stay,Stay,"Having pets,Evacuation expense (travel, lodging, etc.),No transportation (cars, flights, public transportation, etc),No place to go (hotels, public shelters, friends' or family's places, etc.)",25,Male,Asian,College graduate,"Over $80,000",2,No,No,No,Yes,77036,More than 70 miles,Detached single family home,Brick or block,Own,No,Harris,No,,,,,No,,,No,No,No,Yes,AV7UX8QQXABSK,387577
2017-10-31 21:51:01,2017-10-31 21:55:19,IP Address,159.118.214.164,100,258,True,2017-10-31 21:55:20,R_5zkdOu90PKakSPv,,,,,30.382598876953,-89.373001098633,anonymous,EN,A great deal,A moderate amount,A great deal,A great deal,A great deal,A great deal,Yes,A lot,A moderate amount,A great deal,A lot,A moderate amount,A great deal,Yes,A lot,A lot,A lot,A moderate amount,A lot,A great deal,Evacuate,Evacuate,"Having young children,Having elderly family member(s),Having pets,Evacuation expense (travel, lodging, etc.)",33,Female,Caucasian,College graduate,"Over $80,000",4,Yes,No,No,Yes,77070,More than 70 miles,Detached single family home,Brick or block,Own,Yes,Harris,No,,,,No,Yes,August 23th (Wednesday),Afternoon,,,,Yes,A2UZXRV8QU8TGS,977893
2017-10-31 21:56:36,2017-10-31 21:58:58,IP Address,76.184.115.122,100,142,True,2017-10-31 21:58:59,R_DGMTcAUzQLoLSV3,,,,,32.951293945312,-96.715400695801,anonymous,EN,A great deal,A lot,A great deal,A lot,A lot,A great deal,Yes,A lot,A great deal,A great deal,A lot,A lot,A lot,Yes,A lot,A great deal,A lot,A lot,A lot,A great deal,Evacuate,Evacuate,"Evacuation expense (travel, lodging, etc.)",27,Female,Other,College graduate,"$25,000 to $40,000",2,No,No,No,Yes,77005,10 to 30 miles,Condo/apartment - 4 stories or less,Brick or block,Rent,Yes,harris,Yes,Mandatory (must),Radio or TV,August 23th (Wednesday),No,Yes,August 24th (Thursday),Morning,,,,Yes,A17GP9RERC723H,536898
2017-10-31 22:19:47,2017-10-31 22:26:35,IP Address,47.187.217.196,100,407,True,2017-10-31 22:26:36,R_1eLRauD8zf9MV8f,,,,,33.095199584961,-96.752403259277,anonymous,EN,A lot,A moderate amount,A lot,A lot,A great deal,A great deal,Yes,A lot,A little,A great deal,A lot,A moderate amount,A lot,Yes,A great deal,A great deal,A moderate amount,A moderate amount,A lot,A lot,Evacuate,Evacuate,"Having elderly family member(s),Evacuation expense (travel, lodging, etc.),No transportation (cars, flights, public transportation, etc),No place to go (hotels, public shelters, friends' or family's places, etc.)",26,Male,Asian,College graduate,"$25,000 to $40,000",4,No,Yes,No,Yes,77005,30 to 50 miles,Detached single family home,Brick or block,Rent,No,Harris,No,,,,Yes,Yes,August 24th (Thursday),Afternoon,,,,Yes,A2LI51CANHJ00M,202533
2017-10-31 23:22:01,2017-10-31 23:35:51,IP Address,112.204.225.8,100,830,True,2017-10-31 23:35:52,R_2PolBgbSgjeu5t0,,,,,14.588592529297,121.17568969727,anonymous,EN,A great deal,A little,A great deal,A great deal,A great deal,A great deal,Yes,A lot,A lot,A great deal,A lot,A moderate amount,A lot,Yes,A great deal,A great deal,A great deal,A moderate amount,A lot,A lot,Evacuate,Evacuate,"Having young children,Having elderly family member(s),Having pets",38,Male,Hispanic,High school graduate,"Over $80,000",6,Yes,Yes,No,Yes,77396,30 to 50 miles,Detached single family home,Wood,Own,Yes,"Humble ",Yes,Mandatory (must),"Radio or TV,Social media or internet,Police/authorities came into the neighborhood",August 24th (Thursday),No,Yes,August 24th (Thursday),Morning,,,,Yes,A3TE8ZWYV0NII8,289683
2017-11-01 02:15:49,2017-11-01 02:18:47,IP Address,12.12.136.98,100,177,True,2017-11-01 02:18:47,R_2wakLsypwzy7Axc,,,,,33.462707519531,-111.98560333252,anonymous,EN,A lot,A little,A moderate amount,A lot,A little,A moderate amount,Yes,A moderate amount,A little,A lot,A moderate amount,A moderate amount,A lot,Yes,A moderate amount,A little,A moderate amount,None at all,A moderate amount,A lot,Stay,Stay,"Having elderly family member(s),Having family member(s) with special needs,Evacuation expense (travel, lodging, etc.),No transportation (cars, flights, public transportation, etc)",28,Male,Caucasian,College graduate,"$25,000 to $40,000",2,No,No,No,No,77047,30 to 50 miles,Detached single family home,Brick or block,Own,Yes,Harris County,No,,,,,No,,,Yes,No,Yes,No,A1BPHW0KCTG34P,233018
2017-11-01 04:27:25,2017-11-01 04:30:04,IP Address,47.186.101.198,100,159,True,2017-11-01 04:30:05,R_2YyX0HYKW9MAEPu,,,,,33.016204833984,-96.538200378418,anonymous,EN,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Yes,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Yes,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,Evacuate,Evacuate,"Having young children,Having pets",38,Female,Caucasian,Graduate school,"Over $80,000",3,Yes,No,No,Yes,75098,More than 70 miles,Detached single family home,Wood,Own,Yes,Collin,No,,,,Yes,No,,,No,No,No,Yes,AIZ8L7DXJOQAD,526532
2017-11-01 04:31:27,2017-11-01 04:33:33,IP Address,99.58.42.214,100,126,True,2017-11-01 04:33:34,R_3iWtIOZwsAoCl1D,,,,,30.141006469727,-95.469398498535,anonymous,EN,A lot,A little,A moderate amount,A moderate amount,A lot,A moderate amount,Yes,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A little,Yes,A lot,A little,A moderate amount,A moderate amount,A lot,A moderate amount,Stay,Stay,None,28,Male,Caucasian,Some college,"$25,000 to $40,000",4,Yes,No,No,Yes,77385,50 to 70 miles,Detached single family home,Brick or block,Rent,Yes,Montgomery,No,,,,Yes,No,,,No,No,No,Yes,A17D6BK59S31BM,906472
2017-11-01 05:36:42,2017-11-01 05:40:59,IP Address,73.166.20.135,100,257,True,2017-11-01 05:41:00,R_OeCLI1p8rNdxWVP,,,,,29.822494506836,-95.295402526855,anonymous,EN,None at all,A moderate amount,None at all,A little,None at all,A moderate amount,Yes,A moderate amount,A little,A moderate amount,A lot,None at all,A moderate amount,No,,,,,,,Neither,Stay,None,40,Male,African American,Some college,"$15,000 to $25,000",1,No,No,No,No,77028,More than 70 miles,Detached single family home,Wood,Own,No,Harris,,,,,,No,,,No,No,No,Yes,A1NJ0J3SCP668A,425937
2017-11-01 07:54:50,2017-11-01 08:01:43,IP Address,162.196.79.153,100,413,True,2017-11-01 08:01:44,R_1P5G06etJtFNRHz,,,,,30.028198242188,-90.250503540039,anonymous,EN,A lot,A little,A moderate amount,A moderate amount,A lot,A moderate amount,Yes,A lot,A little,A lot,A moderate amount,A moderate amount,A lot,Yes,A lot,A moderate amount,A little,A little,A lot,A lot,Stay,Stay,"Having pets,Evacuation expense (travel, lodging, etc.),Job obligations",23,Male,Hispanic,High school graduate,"Over $80,000",3,No,No,No,Yes,70065,30 to 50 miles,Detached single family home,Brick or block,Own,Yes,Jefferson,No,,,,No,No,,,No,No,No,Yes,A3FQNVDMR1ORAT,384231
2017-11-01 08:39:13,2017-11-01 08:43:03,IP Address,38.114.210.43,100,229,True,2017-11-01 08:43:04,R_1OGMFTnZ4mUVZLT,,,,,29.798706054688,-95.41919708252,anonymous,EN,A little,A great deal,A little,A little,A moderate amount,A moderate amount,Yes,A little,None at all,None at all,A little,A little,None at all,Yes,A moderate amount,A lot,A moderate amount,A lot,A little,A moderate amount,Stay,Stay,"Having pets,Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.),Job obligations",43,Female,Asian,College graduate,"Over $80,000",2,Yes,No,No,Yes,77339,More than 70 miles,Detached single family home,Brick or block,Own,Yes,Harris,No,,,,Yes,No,,,No,No,No,Yes,A2QVQRXFYUPBU,524186
2017-11-01 09:03:23,2017-11-01 09:10:02,IP Address,172.5.128.63,100,399,True,2017-11-01 09:10:03,R_2ZR2xc8iIpX7KwZ,,,,,29.767196655273,-95.158897399902,anonymous,EN,A great deal,A great deal,None at all,None at all,A great deal,A great deal,Yes,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Yes,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Stay,Stay,"Evacuation expense (travel, lodging, etc.),Job obligations",49,Female,African American,College graduate,"$40,000 to $80,000",3,No,No,No,No,77049,More than 70 miles,Condo/apartment - 4 stories or less,Brick or block,Rent,No,Harris,No,,,,Yes,Yes,August 27th (Sunday),Afternoon,,,,Yes,A22HZJIW9LEIS0,605748
2017-11-01 09:06:46,2017-11-01 09:10:39,IP Address,70.196.152.165,100,232,True,2017-11-01 09:10:39,R_3nTW29BtV0wacc1,,,,,30.605499267578,-89.107498168945,anonymous,EN,A little,None at all,A little,A little,None at all,None at all,Yes,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Yes,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Neither,Stay,Having pets,55,Female,Caucasian,High school graduate,"Over $80,000",2,No,No,No,Yes,77585,50 to 70 miles,Mobile or manufactured home,Wood,Own,Yes,Hardin,No,,,,Yes,No,,,No,No,No,Yes,A1QRLJ6KICINOX,672392
2017-11-01 09:23:04,2017-11-01 09:28:07,IP Address,70.196.7.237,100,303,True,2017-11-01 09:28:07,R_24NtptMjzVAtQDG,,,,,32.81950378418,-96.633796691895,anonymous,EN,A little,A great deal,A great deal,A great deal,A little,A little,Yes,A lot,A moderate amount,A great deal,A moderate amount,A moderate amount,A great deal,Yes,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Stay,,"Having young children,Evacuation expense (travel, lodging, etc.),No place to go (hotels, public shelters, friends' or family's places, etc.),Job obligations",33,Female,Caucasian,College graduate,"$25,000 to $40,000",5,Yes,No,No,Yes,77514,30 to 50 miles,Detached single family home,Wood,Own,Yes,"Chambers ",No,,,,No,Yes,August 29th (Tuesday),Afternoon,,,,Yes,A3I7G2JAKO15P7,846122
